abhor	 …'を'ひどくきらう,嫌悪する 
prize	 『賞』,賞品,賞金,ほうび / (努力して手に入れる)『価値あるもの』,貴重なもの / 入賞した / 賞品の / 《話》《しばしば皮肉に》賞に値する / …‘を'高く評価する,重んずる
probe	 (傷の深さを調べる)さぐり針 / (…を)厳密に調べること,精査《+『into』(『for』,『at』)+『名』》 / (また『space probe』)(ロケットの)宇宙探測機 / …‘を'厳密に調べる / 〈傷〉‘を'さぐり針で調べる / (…を)厳密に調べる《+『into』(『for』,『at』)+『名』》
proem	 序文,緒言 
prone	 《補語にのみ用いて》傾向がある / うつぶせの,平伏した
prong	 (フォーク・くまでの)また;(雄ジカの)枝角(えだづの) / …‘を'フォーク(角など)で刺す(突く);〈土・干し草〉‘を'くまででかく
prose	 『散文』,散文体 / 散文の
prosy	 (話・文章などが)だらだらした,退屈な / 散文[体]の,散文的な
proud	 (人が)『得意な,誇らしげな』 / (人が)『誇りを持った』,自尊心のある / (人が)高慢な,威張った / 《名詞の前にのみ用いて》(物事が)誇るに足る,みごとな
prove	 …‘を'『証明する』 / …‘を'『試す』,検討する / 《『prove』[『to be』]+『名』(『形』)》(…と)『証明される』,わかる・「で」あると判明する 
prowl	 《副詞[句]を伴って》(獣がえさを求めて,または人が盗みをしようと)足音をしのばせてうろつき回る / 〈場所〉‘を'うろつく / 《単数形で》うろつくこと,さまよい歩き 
proxy	 〈U〉(…の)代理,代理権;〈C〉代理人《+『for』+『名』》 / 〈C〉委任状
prude	 (言動・服装などで)お上品ぶった人,すまし屋 
prune	 (草木から)…‘を'切り取る / 〈草木〉‘を'刈り込む / (不要なものを)…‘から'除く 
psalm	 『賛美歌』,聖歌(hymn) / 《P-》(特に旧約聖書「詩篇」の中の)一編の聖歌
pshaw	 《まれ》ふん,へん,ちぇっ(軽べつ・いらいら・嫌悪(けんお)を表わす) 
psych	 …‘を'心理的にまいらせる,げんなりさせる《+『out』+『名』,+『名』+『out』》 
pubes	 陰毛 
pubic	 恥丘の,恥骨の 
pubis	 恥骨 
pudgy	 小さくてずんぐりした 
pulse	 《通例単数形で》『脈はく』 / (一般に,規則的な)鼓動,律動 / (電気の)パルス / (一般的な)傾向 / 脈を打つ,鼓動する 
punch	 …‘を'『げんこつでなぐる』 / (機械などを動かすために)…‘を'押す / 《話》〈家畜〉‘を'追う・げんこつでなぐる / 〈C〉『げんこつの一打ち』 / 〈U〉《話》迫力 
purge	 (…を除いて)…‘を'『清める』,きれいにする《+『名』+『of』+『名』》;(…から)…を除いて清める《+『名』+『from』+『名』》 / (…を除いて)〈政党など〉‘を'粛清する《+『名』+『of』+『名』》;(…から)〈異分子〉‘を'追放する《+『名』+『from』+『名』》 / 〈腹〉‘に'下剤をかける / 清めること / (異分子の)粛清,追放,パージ / 下剤
purse	 《米》(婦人用)『ハンドバッグ』 / 『さいふ』 / 《単数形で》資金,資力,財力 / 〈C〉賞金,寄付金 / 〈くちびるなど〉‘を'すぼめる,〈まゆ〉‘を'ひそめる《+『up』+『名,』+『名』+『up』》 
pushy	 でしゃばりの,ずうずうしい,押しの強い 
pylon	 (古代エジプトの寺院の)塔門 / (飛行機操縦上の)目標塔(特にレースで用いる) / (高圧線用の)鉄塔 
quack	 ガアガア(アヒルの鳴き声) / 〈アヒルが〉ガアガア鳴く
quail	 ウズラ(キジ科の小鳥) 
quake	 (衝突・地震などで)〈物が〉揺れる,震動する(shake) / (寒気・憎しみ・恐怖などで)〈人が〉震える,身震いする / 揺れ,震動 / 地震(earthquake)
qualm	 (…についての)突然の不安(疑惑)《+『about』+『名』(do『ing』)》 / 《しばしば複数形で》(…についての)良心のかしゃく《+『about』+『名』(do『ing』)》 / (一時的な)めまい,吐きけ 
quark	 クォーク(あらゆる物質の基礎をなす3種の素粒子の一つ) 
quart	 クォート(液量の単位で《米》約0.95リットル,《英》約1.13リットル;乾量の単位で《米》約1.1リットル,《英》約1.13リットル;《略》『qt.』,複数形は『qts.』) / 1クォート容器(ます・びん・つぼなど)
quash	 〈判決・決議など〉‘を'取り消す,破棄する / 〈反乱など〉‘を'鎮める,抑える
quasi	 「(実質的には違うが)見たとこでは」「いくぶんか;ほとんど」の意を表す / 類以の,疑以の;ある意味の,準…
quean	 売春婦,あばずれ 
query	 質問,疑問・疑問符(?)・(不審・疑問を感じて)〈人〉‘に'質問する,〈人の気持ちなど〉‘を'問いただす・〈物事〉‘に'疑問をいだく,‘を'不審に思う・（コンピュータ）質問, 問い合わせ (特定の情報の検索をデータベースに要求すること)
quest	 (…の)探求,探索(search)《+『of』(『for』)+『名』》 / (中世騎士の)冒険の旅;(…を捜し求めての)遠征《+『of』+『名』》 / (…を)探索する《+『for』+『名』》 
quick	 (動作などが)『速い』,急速な,素早い;(人が)敏しょうな,機敏な / (進行・経過などが)『瞬間の』,短時間内の,すぐ終わる / (人,人の頭が)『理解の早い』,りこうな,利発な;(感覚などが)鋭敏な,鋭い / せっかちな,気の短い / 《古》命のある,生きている(living) / (爪の下・傷口などの)最も敏感なところ;(感情の)いちばん痛いところ / 素早く,急いで / 《複合語を作って》「早く(…する)」の意を表す
quiet	 『静かな』,ひっそりした,閑静な / 『音を出さない』(『立てない』),沈黙した(silent) / 『動きのない』,静止した / 『平穏な』,穏やかな,安らかな / (色などが)落ち着いた,じみな / 静かさ,静寂・平穏(tranquility);安静(rest)・平静・〈人・騒ぎなど〉‘を'静める;…‘を'なだめる・静まる;落ち着く
quilt	 キルト(鳥の綿毛を入れて刺し子に縫った掛けぶとん) / …‘を'刺し子に縫う / キルトを作る 
quint	 =quintuple　5倍　5倍の量　5倍の　5重の　5つの部分から成る 
quire	 (紙の)1帖(じょう)(24または25枚) 
quirk	 変な癖,奇癖 / (…の)予期しない急転回,急変《+『of』+『名』》
quirt	 編み皮の乗馬むち 
quite	 『全く』,完全に / 『かなり』,相当に,ずいぶん / ほんとうに,実際に,真に 
quits	 )…と)貸し借りなしで,(…と)対等で《+『with』+『名』》 
quoin	 (建物の外壁の)かど;(そのかどを造る)すみ石 / くさび石 / くさび;くさび型の物 
quoit	 《複数形で》《単数扱い》鉄輪投げ / {C}(鉄輪投げの)鉄輪　尻の穴
quota	 (生産・分配などの個個への)割当・分け前; 割当て（額）・移民割当人数 
quote	 (…から)〈言葉・文章など〉‘を'『引用する』(cite)《+『名』+『from』+『名』》 / …‘を'引き合いに出す / 〈値段・評価額〉‘を'見積もる / …‘を'引用符で囲む / (…から)引用する《+『from』+『名』》 / (…の)相場(時価)を見積もる《+『for』+『名』》 / 見積もり、見積価格、価格を提示されたもの/ =quotation2 / 《複数形で》=quotation mark
quoth	 …‘と'言った 
rabid	 《名詞の前にのみ用いて》(意見・行動などが)過激な,狂信的な(fanatical) / 《名詞の前にのみ用いて》激しい,すさまじい / 狂犬(恐水)病にかかった 
radio	 『ラジオ』[『放送』] / 〈C〉『ラジオ』[『受信機』] / 〈U〉無線電信;〈C〉無線による通信 / 『ラジオの』;無電(無線)の / 〈通信〉‘を'『無電』(『無線』)『で送る』;〈人・船など〉‘に'無電を打つ / 無電を打つ
radon	 ラドン(放射性元素;化学記号はRn) 
rainy	 『雨の』,雨降りの;雨の多い / 雨にぬれた;雨模様の
raise	 …‘を'『上げる』,持ち上げる;〈倒れた物〉‘を'起こす / …‘の'量(程度,価値など)『を上げる』 / 〈地位,名声〉‘を'『高める』;(…の地位などに)…‘を'上げる,高くする《+『名』+『to』+『名』》 / …‘を'生じさせる / …‘を'集める,調達する / 《米》…‘を'育てる,栽培する,飼う / 《おもに米》〈子供・家族〉‘を'扶養する,養育する / 〈建物・像など〉‘を'建てる / 〈気持ち・人など〉‘を'奮い立たせる / 〈疑問・異議・要求など〉‘を'提起する,持ち出す / 〈禁止・封鎖など〉‘を'解く / 〈死者〉‘を'生き返らせる / 〈パン〉‘を'ふくらませる / 『賃上げ』,『昇給』;昇給額(《英》rise)
ramie	 〈C〉カラムシ(アジア産の低木で織物用の繊維が採れる) / 〈U〉カラムシの繊維
ranch	 (米国西部・カナダの)大牧場 / 《米》農場,飼育場 / 牧場を経営する;牧場で働く 
randy	 みだらな,好色な 
range	 〈U〉《時にa~》(価格・気温などの変動の)『幅』 / 〈U〉《時にa~》(知覚・知識などの)『範囲』,広がり / 〈U〉《時にa~》(銃砲・ミサイルなどの)着弾距離,射程 / 〈U〉《時a~》(航空機・船舶などの)航続距離 / 〈C〉(銃砲の)射撃場,(ミサイルなどの)試射場 / 〈C〉《米》放牧地域 / 〈C〉(山などの)列,連なり / 〈C〉(料理用の)レンジ / 〈U〉《しばしばa~》(動植物の)生息(分布)区域 / 《副詞句を伴って》(価格・気温などがある範囲内で)『変動する』,動く / (…を)さまよう,歩き回る,(…に)及ぶ《+『over』(『through』)+『名』》 / 一列(一直線)に延びている / (動植物が)分布している / 《副詞[句]を伴って》(ある状態に)…‘を'『並べて置く』,配列する,整列させる / …‘を'さまよう,歩き回る(受動態にできない) / 《米》〈家畜〉‘を'放牧地に入れる
rangy	 (人・動物が)やせて足の長い 
rapid	 『速い』,『すばやい』,敏速な / (坂などが)急な,険しい / 急流,早瀬 
raspy	 こするような,耳ざわりな / 短気の
ratio	 『比』,比率,『割合』;『比例』 
ravel	 〈編み物・ロープなど〉‘を'解く,ほどく(unravel)《+『out』+『名』,+『名』+『out』》 / …‘を'もつれさせる,からませる;…‘を'混乱させる / 解ける,ほどける / (編み物などから)ほどけた糸の端;ほどけた部分
raven	 ワタリガラス,大ガラス(普通のカラス(crow)よりも大型で,不吉な鳥とされる) / 漆黒(しっこく)の
rayon	 人絹,レーヨン 
reach	 《時間などの副詞[句]を伴って》〈場所・目的地〉‘に'『着く』,『到着する』;〈人,人の耳など〉‘に'『届く』 / 〈ある年齢・状態など〉‘に'『達する』,到達する / 〈手など〉‘を'『差し出す』,『伸ばす』《+『out』+『名』,+『名』+『out』》 / 〈物〉‘を'『手を伸ばして取る』,‘に'手を届かせる / (電話などで)…‘と'連絡する / 〈ある数量〉に達する~届く,及ぶ / 〈人の心〉を動かす / (…に)『手を伸ばす』《+『out to』(『toward』)+『名』》 / (物を)取ろうと手を伸ばす《+『for』+『名』》;(名声などを)手に入れようとする《+『for(after)』+『名』》 / 〈物事が〉(空間的・時間的に)(…)届く,達する《+『to』+『名』》 / 〈U〉《時にa~》(…に)『手を伸ばすこと』《+『for』+『名』》 / 〈U〉(手・声などの)届く範囲《+『fo』+『名』》 / 〈U〉(力・理解などの)及ぶ範囲 / 〈C〉(川の曲がり目の間の)直線流域
react	 (刺激などに)『反応する』《+『to』+『名』》 / (…に)反対する,反抗する《+『against』+『名』》 / (…に)影響を与える;(作用するものに)反作用する,はね返る《+『on(upon)』+『名』》 / (…と)化学反応を起こす《+『with』+『名』》
ready	 『準備ができた』,仕上がった / 《補語にのみ用いて》(進んで喜んで)覚悟している / 《補語にのみ用いて》《『be ready to』 do》『今にも…しようとする』,しがちである / す早い,即座の / すぐに使える;手近の / (…に対して)…‘を'『準備する』,用意する《+『名』+『for』+『名』》 / (銃の)構えの姿勢 / 位置について
realm	 《文》王国(おもに法律・詩・修辞用語) / 《しばしば複数形で》(学問などの)『分野』,領域
rebus	 判じ絵(語句を絵や記号で表したもの;眼(eye)の絵かIを示したりする) 
rebut	 〈非難・証拠など〉‘を'反論する,反ばくする 
recap	 〈古タイヤ〉‘を'補修し再生する(retread) / 再生タイヤ
