abed	 寝床に(in bed) 
ripe	 (果物・穀物などが)『熟した』,うれた / (人・精神などが)『円熟した』成熟した / 《補語にのみ用いて》(…の)用意ができている;)…の)機の熟した《+『for』+『名』》 / 老齢に達した
rise	 《文》『立ち上がる』《+『up』》 / 《文》『起床する』,起きる / (下から上へ)『上がる』,上昇する,昇る / 〈土地が〉上り[坂]になる / 〈山・建物などが〉そびえ立つ(進行形にできない) / 〈…の数量・価値・程度・力などが〉増す,増大する,増加する / 〈地位・身分などが〉(…から…へ)上がる,高くなる《+『from』+『名』+『to』+『名』》 / 〈川などが〉高さを増す,増水する / 〈パンなどが〉ふくれる / (…に)源を発する,始まる《+『from』(『in』)+『名』》(進行形にできない) / (…に)反乱を起こす,背いて立ち上がる《+『against』+『名』》 / 生き返る,よみがえる / (表面に)浮かび上がる / (…に)応じて立ち上がる,うまく対処する《+『to』+『名』》 / 〈C〉(…の)『上昇』《+『of』+『名』》 / 〈C〉(数量・価値・程度などの)増大,増加《+『in』(『of』)+『名』》 / 〈U〉立身;繁栄 / 〈C〉(…の)上り坂,上り勾配(こうばい)《+『in』(『of』)+『名』》 / 〈C〉丘,高台 / 〈C〉(…の)起源,始まり《+『of』+『名』》 / 《英話》昇給,昇給額(《米》raise) / 〈C〉魚がえさを求めて水面に浮き上がること
risk	 『危険』;危害(損害)を受ける可能性《+『of』+『名』(do『ing』)》 / 〈生命など〉‘を'『危険にさらす』 / …‘を'危険(失敗,損失など)を覚悟してする 
rite	 (通例宗教的な)儀式 
rive	 …‘を'割る,裂く / 〈心など〉…‘を'引き裂く
road	 『道路』,『道』;街道 / (都市・町の)…街,…通り(street);《the…Roadとして》…街道;通例Rdと訳し固有名詞に付て / (ある目的に至る)『道』(course),手段(means)《+『to』+『名』》 / 鉄道(railroad) / =roadstead 
roam	 (特に広い地域を)あてもなく歩き回る,放浪する(wander)《+『about』(『around』(《英》『round)』),『through』,『over』)+『名』》 / …‘を'歩き回る,放浪する
roan	 (馬などが)あし毛の / あし毛の動物(特に,馬) / あし毛色 
robe	 『ローブ』(長いゆったりとした外衣;特に化粧着・部屋着・バスローブなど) / 《しばしば複数形で》(すそまでの長いゆったりした)礼服,式服,職服,法衣 / 《米》(戸外競技を見るときにひざなどにかける毛皮・布・編物などの,暖かい)おおい / (礼服・式服などを)〈人〉‘に'ゆったりとまとわせる《+『名』+『in』+『名』》 / ローブ(礼服・式服など)を着る 
rock	 〈U〉〈C〉『岩』,岩石;『岩壁』;《しばしば複数形で》岩礁 / 〈C〉『岩片』;《米話》『石』,小石 / 〈C〉岩のように強固(堅固)なもの,しっかりして頼りになるもの 
rode	 rideの過去形 
roil	 (また《米》『rile』)〈液体〉‘を'かき乱す(濁す) / 〈人〉‘を'怒らせる,いら立たせる
role	 (役者が演じる)『役』 / (一般に)『役割』,任務
romp	 はしゃぎ回る,ふざけ回る《+『about』(『around』)》 / (レースで)楽勝する / おてんば娘;はね回る子供 / 騒々しい遊び;はね回り
rope	 〈U〉『なわ』,綱,ロープ;〈C〉(1本の)なわ / 〈C〉一つながり(の…)《+『of』++『名』》 / 《the~》絞首索;絞首刑 / 〈C〉投げなわ / 《複数形で》ロープス(ボクシングなどでリングを囲った綱) / …‘を'なわで縛る(くくる)《+『up』+『名,??+『名』+『up』》 / 〈場所〉‘を'なわで囲う(仕昔る)《+『off』+『名』,+『名』+『off』》 / 《米》…‘を'投げなわで捕らえる / 〈登山者が〉ロープで体を結び合わせる《+『up』》 / 〈登山者が〉(…を)ロープで登る(降りる)《+『up』(『down』)+『名』》
ropy	 ひどい[状態の] 
rose	 〈C〉『バラの花』 / 〈C〉バラの木 / 〈U〉バラ色,淡紅色 / 〈C〉(形が)バラに似た物:(じょうろの)散水口;(リボンなどの)バラ結び;バラ模様(飾り) / 『バラ色の』 / バラの
rosy	 (特に,肌色について)『バラ色の』 / 希望に満ちた,楽観的な
rote	 機械的なやり方(反復) 
roue	 放とう者 
rout	 大敗北 / (敗北の後の)総崩れ,敗走 / …‘を'敗走させる 
roux	 ルー(小麦粉をバターでいためたもので,スープやソースにとろみをつけるのに用いる) 
rove	 reeveの過去・過去分詞 
rube	 いなかっぺ,いなか者 
ruby	 〈C〉紅玉,ルビー / 〈U〉ルビー色,深紅色(しんこうしょく) / ルビー色の,深紅の,日本発のプログラミング言語 
ruck	 (布についた)しわ 
rude	 (人・人の行為が)『失礼な』,無作法な / 《名詞の前にのみ用いて》大ざっぱに作った,粗雑な / 《名詞の前にのみ用いて》荒々しい,激しい,突然の / 未開の,原始的な / 《名詞の前にのみ用いて》未加工の,自然のままの 
ruin	 〈U〉(…の)『破滅』,崩壊,没落;破産《+『of』+『名』》 / 〈C〉崩壊(荒廃)した物,残がい;《複数形で》『廃墟』(はいきょ) / 《単数形で》破滅(崩壊)させるもの(原因) / …‘を'『波滅させる』,崩壊させる,荒壊させる,〈人・会社など〉‘を'破産させる / …‘を'台なしにする,だめにする 
rule	 〈C〉『規則』,規定;法則 / 〈C〉『慣例』,慣習;通例,通則 / 〈U〉『支配』,統治;統治期間;統治権 / 〈C〉ものさし,定規(ruler) / 〈国・人など〉‘を'『支配する』,統治する,統御する / 《しばしば受動態で》〈感情などが〉〈人,人の行動など〉‘を'左右する,動かす / 〈裁判所・裁判官などが〉…‘と'裁決する,決定する / 〈紙〉‘に'線を引く / (…を)『支配する』,統治する《+『over』+『名』》 / (…について)裁決する,判定する《+『on』+『名』》;(…に反対の)裁決をする《+『against』+『名』(do『ing』)》・〈米俗〉抜群である、最高である
rump	 〈C〉(鳥獣の)臀(でん)部,(人の)しり / 〈U〉(特に牛の)しり肉
rune	 ルーン文字(古代の北欧文字)・神秘的(魔術的)に書かれた文字 / 古代スカンジナビアの詩(歌)
rung	 ringの過去分詞 
runt	 (同種の中で)普通より小さい(発育不良の)動物・(動物のひと腹の子の中で発育不良の)小さな子・できそこない・軽べつして》ちび 
ruse	 (敵を欺く)計略,策略 
rush	 トウシンソウ(灯心草);灯心草の茎(マット・かごなどを作る) 
rusk	 ラスク(甘味をつけた薄切りのパンを天火で焼いたもの) / ソフトラスク(軽く柔らかい甘い乳児用のビスケット)
rust	 (金属の)『さび』 / さび病;さび菌 / さび色 / さびる / 〈能力などが〉(使わずに)鈍る / 〈植物が〉さび病にかかる / 〈金属〉‘を'さびさせる / さび色の
sack	 〈C〉(丈夫な布(革)製の)『大袋』 / 〈C〉《おもに米》(一般に)袋,(特に,購入した食料を入れる)紙袋　〈C〉(婦人・子供用の)ゆったりして短い上着 / 《the ~》《米俗》ベッド,寝袋 / 〈U〉《the ~》《俗》(…からの)解雇《+『from』+『名』》 / …‘を'袋に入れる / 《話》〈人〉‘を'解雇する
safe	 安全な,危険のない / 《come,arrive,bring,keepなどの補語にのみ用いて》無事な(に) / 危険を引き起こさない,危害を加えない / 安全を心がける,危険をおかさない / 『確かな』,まちがいのない / (野球で)セーフの / 『金庫』 / (食料などを入れる)安全戸棚,貯蔵容器
sage	 (通例経験に富んだ年輩の)賢人 / 思慮深い,賢明な
sago	 サゴ(サゴヤシの幹から製するでんぷん) / =sago palm
said	 sayの過去・過去分詞 / 前記の前述の
sail	 〈C〉〈U〉『帆』;《集合的に》一隻の帆全部 / 〈C〉帆のような物;風車の羽根,カエデの種子の羽根など / 〈C〉《単複同形で》帆船;船 / 〈C〉《単数形で》(短い)船旅,船遊び;〈U〉《時にa sail》航程 / 《副詞[句]を伴って》〈船が〉『航海する』 / (…から…へ)『出航する』《+『from』+『名』+『for』(『to』)+『名』》 / 《副詞[句]を伴って》〈人が〉『船で旅をする』,航海する / ヨットを操る,帆走する / 《副詞[句]を伴って》すべるように進む(飛ぶ);〈人が〉さっそうと歩く / 〈人・船などが〉〈海・川など〉‘を'渡る / 〈船〉‘を'操る,走らせる 
sake	 『ため』;利益;理由,目的 
sale	 〈U〉〈C〉(…の)『販売』,売却,売れ行き,需要《+『of』(『for』)+『名』》 / 〈C〉『特売』,安売り / 《複数形で》販売[の仕事];売り上げ[高] 
salt	 〈U〉『塩』,食塩 / 〈U〉(化学で)塩 / 《複数形で》薬用塩類(Epsom salt[s],smelling salts) / 〈U〉生気(刺激,興趣)を与えるもの / 〈C〉《話》(特に老練な)水夫 / 塩の,塩を含んでいる;塩気のある,塩辛い / 塩漬けにした / (土地が)塩につかった / 塩信でできた,塩水の中で育つ / 〈食べ物〉‘を'塩で味をつける;〈肉・魚など〉‘を'塩漬けにして保存する《+『名』+『down』,+『down』+『名』》 / 《受動態で》(…で)〈言葉・話など〉‘を'ぴりっとさせる,‘に'味をつける《+『名』+『with』+『名』》 
same	 《the same》(いつもと)『同じ』,(以前と)変わらない / 《the same》(…と)『同一の』,同じ;同種の《+『as節』(『that節』,『wh-節』)》 / 《this,these,that,thoseと共に》《強調的,時に軽べつして》この,その,例の,前に述べた / 同じ物,同じ事 / 同様に 
sand	 〈U〉『砂』 / 《複数形で》砂地,砂浜,砂漠 / 《複数形で》時刻,時間 / …‘を'砂(紙やすり)で磨く《+『down』+『名,』+『名』+『down』》 / 〈道路など〉‘に'砂をまく 
sane	 (人が)『正気の』,気の確かな / (考え方・判断などが)『思慮(分別)のある』
sang	 singの過去 
sank	 sinkの過去 
sari	 サリー(インド婦人のつける巻き布の衣服) 
sate	 〈欲望・食欲など〉‘を'満足させる / 《受動態で》(…で)〈人〉‘を'飽き飽きさせる《+『名』+『with』+『名』》
save	 (危害・損失・危機などから)‘を'『救う』,救援する《+『名』+『from』+『名』》 / 〈金など〉‘を'』残しておく』,蓄える / …‘を'『節約する』,省く / …‘を'『安全』(『無傷』)『に保つ』,保護する / …‘を'削から急う / (…のために)貯金する《+『up for』+『名』》 / (…を)節約する《+『on』+『名』》 / (サッカー・ホッケーなどで)敵の得点を妨げること
sawn	 sawの過去分詞 
scab	 (傷口の)かさぶた / 《話》(労働組合にはいらない)非組合員;スト破り / スト破りをする 
scam	 悪だくみ,ぺてん / …‘を'だまし取る
scan	 …‘を'じっと見る,詳しく調べる;〈広い区域〉‘を'端から端までよく見る / …‘に'さっと目を通す,‘を'ざっと読む / 〈詩〉‘の'韻律を調べる,‘を'詩脚に分ける / (テレビ・レーダーで)〈映像〉‘を'走査する / 詩の韻律を調べる;〈詩行が〉韻律の法則に合う,音脚が合う / (テレビ・レーダーで)走査をする / じっと見ること,吟味 
scar	 (皮膚の)『傷跡』;(物の表面の)傷跡 / 心の傷跡,痛手;(名誉などを傷つける)汚点 / (植物の茎などに残る)葉印,葉痕(ようこん) / …‘に'傷跡を残す / 〈傷などが〉傷跡を残す《+『over』》 
scat	 (人に)すぐ立ち去れ;(特に猫に)シッシッ,あっちへ行け 
scow	 (泥・石炭などをのせ船で押して運搬する)平底船,スカウ 
scud	 すばやく動く(走る) / 〈船が〉追い風に乗って走る / 〈U〉《しばしばA~》すばやく動くこと,疾走 / 〈U〉風に吹かれて飛ぶ雲 / 〈C〉《しばしば複数形で》風まじりの激しい雨 
